success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,burn_time_s,candidate,crossrange_error_m,downrange_error_m,failed,final_x_m,final_y_m,final_z_m,fuel_used_kg,generation,ground_violation_m,guidance_gain,integrated_control_effort,load_violation_g,miss_violation_m,mission_model,optimizer_score,qbar_violation_pa,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps,thrust_n
True,none,2.7395396299556194,48.589917793279895,151410.0822067201,5.276610055549138,8.84999999999999,19872.38115046304,10.597044532238058,33,0.0,2.675092324734578,False,3002.6750923247346,0.0,0.5907270420790995,5.428400326619666,3,0.0,1.4,0.3994798896011064,0.0,0.0,point_mass,15.323433111426674,0.0,0.5907270420790995,-9.314325413257508,526.5191607071786,2245.466796662494
True,none,2.086774832957974,46.47834762800529,153521.6523719947,5.348535078506513,8.79999999999999,20018.179575305672,10.246758579779558,34,0.0,2.085223077046976,False,3002.085223077047,0.0,0.08046068864682976,5.582253114938567,3,0.0,1.446640101422136,0.3985599205099564,0.0,0.0,point_mass,15.133202264062856,0.0,0.08046068864682976,-9.219445106843045,530.1770726627587,2274.7931335574585
True,none,5.346733128429958,51.35504156114106,148644.95843885894,5.190128404666132,8.899999999999991,19665.269099800957,11.077429662560355,35,0.0,-3.719521307407831,False,2996.280478692592,0.0,-3.8409265015604683,5.222330609376428,3,3.8409265015604683,1.5439164151046831,0.41248253086802983,0.0,0.0,point_mass,17.308745994059755,0.0,-3.8409265015604683,-9.13155855770038,521.5124698708565,2209.5807977304403
True,none,21.464648246396322,47.05570405371528,152944.29594628472,5.349045190098719,8.74999999999999,19904.4399186278,9.821767047408697,36,0.0,-20.96394801516999,False,2979.03605198483,0.0,4.609122254700446,5.790709525635052,3,0.0,1.4217772971323375,0.3973832922284253,0.0,0.0,point_mass,34.31073255696683,0.0,4.609122254700446,-9.192931076551083,529.3365481249755,2274.7931335574585
True,none,6.271577548230089,47.878469614532456,152121.53038546754,5.3464394338972765,8.79999999999999,20018.179575305672,11.615958657699071,37,0.0,-5.919973933045185,False,2994.080026066955,0.0,2.070409035801683,4.924259950089549,3,0.0,1.4217772971323375,0.3980465022150265,0.0,0.0,point_mass,19.107986681355893,0.0,2.070409035801683,-9.249949293466647,527.8068939797755,2274.7931335574585
True,none,3.1753864405891434,46.47206498704731,153527.9350129527,5.349230252299637,8.79999999999999,20018.179575305672,10.275340524617816,38,0.0,1.5642109489872382,False,3001.5642109489872,0.0,-2.763389794101772,5.566725488363204,3,2.763389794101772,1.5432816575117168,0.4041351257092625,0.0,0.0,point_mass,16.22275626783772,0.0,-2.763389794101772,-9.075955919691925,530.0862084568975,2274.7931335574585
True,none,11.509750594247663,51.75961038459442,148240.38961540558,5.151884004760545,8.899999999999991,19517.39626059789,9.994991671840921,39,0.0,-10.454478728110189,False,2989.54552127189,0.0,-4.814377765119393,5.787898769639,3,4.814377765119393,1.6005948069470453,0.4183598263477175,0.0,0.0,point_mass,23.26320529715639,0.0,-4.814377765119393,-9.054940351849249,520.7880861495915,2192.9658719772947
True,none,0.4675696340545005,46.87018468222709,153129.8153177729,5.348000475396451,8.79999999999999,20018.179575305672,10.597044532238058,40,0.0,-0.19359447708529842,False,2999.8064055229147,0.0,0.42560843639656554,5.397731398220685,4,0.0,1.446640101422136,0.3986783135898924,0.0,0.0,point_mass,13.45522150702611,0.0,0.42560843639656554,-9.218550342475707,529.5083964603873,2274.7931335574585
True,none,1.6172039046648612,50.617011033635094,149382.9889663649,5.190250169826129,8.899999999999991,19665.269099800957,10.326465812382772,41,0.0,1.3502123589892108,False,3001.350212358989,0.0,-0.8900983400142168,5.602110252535468,4,0.8900983400142168,1.4217772971323375,0.40354239523330376,0.0,0.0,point_mass,13.689921349420555,0.0,-0.8900983400142168,-9.301370314473523,522.9266257183275,2209.5807977304403
True,none,16.371301327481792,50.70208382088991,149297.9161791101,5.214862766988607,8.84999999999999,19645.3161055266,10.326465812382772,42,0.0,-16.10524988391353,False,2983.8947501160865,0.0,2.9394614016704272,5.570637723026842,4,0.0,1.4,0.4015254067389029,0.0,0.0,point_mass,28.411304859874907,0.0,2.9394614016704272,-9.288044390276102,522.9092600664442,2219.8097294380354
True,none,21.67107084391749,51.31720264007099,148682.797359929,5.19894466757199,8.84999999999999,19587.16080675796,10.326465812382772,43,0.0,-21.368629763976514,False,2978.6313702360235,0.0,3.6079043130587225,5.570637723026842,4,0.0,1.4,0.4021263720430881,0.0,0.0,point_mass,33.5606512546648,0.0,3.6079043130587225,-9.28313150859465,521.851480143993,2213.2385092381846
