failed,final_x_m,final_z_m,impulse_n_s,max_qbar_pa,miss_distance_m,run,success,time_of_flight_s
False,4002.578249126987,-504.833743522188,11910.572595441836,77064.24849267074,236.0181439943247,175,False,13.70000000000006
False,4010.2316317962723,-501.7238295049142,11658.051894671193,78620.50544912649,233.9872714004377,176,False,13.600000000000058
False,4012.938830141688,-466.6661042118544,12638.524967716088,84393.2640690733,216.82320684080256,177,True,13.400000000000055
False,4013.004671014863,-502.65253174016306,11758.017056270523,79019.69125711918,228.31807991061453,178,True,13.800000000000061
False,4015.540865958541,-425.5576301256547,13233.313693314854,88061.80527503342,196.27440612166458,179,True,13.00000000000005
False,4014.545531874395,-483.6134752515818,12963.748582025602,82036.05258712679,228.78715842916458,180,True,13.300000000000054
False,4005.9365730926424,-454.70172569988284,13357.72249827468,86040.68317389191,213.41447505411278,181,True,13.150000000000052
False,4008.310395547689,-508.30452081571747,12147.717045274698,80681.79665301535,239.32368815672126,182,False,13.500000000000057
False,4006.6554164893764,-512.1638943704071,12115.517581655084,75665.95554414543,239.9512498529461,183,False,13.600000000000058
False,4014.5698489706065,-495.5458971197347,12023.989281404747,83793.7491039733,228.56565818068873,184,True,13.650000000000059
False,4004.259505046457,-528.2580549565031,11739.425854376357,73992.43903012127,249.27408316086013,185,False,13.70000000000006
False,4006.4212031348834,-480.7877051041338,11926.676836927387,75528.28069135103,223.8335965837031,186,True,13.400000000000055
False,4000.2574836047097,-458.60146693134266,13042.177877660744,83163.85876093723,217.79041674170034,187,True,13.05000000000005
False,4006.5007665018466,-494.2542433796019,12280.7928008547,77400.8046131304,233.62380950726924,188,False,13.450000000000056
False,4010.233751980341,-466.6271211245615,12452.875223073126,82394.16046412074,217.01796067278894,189,True,13.250000000000053
False,4005.911268269227,-399.8414490589215,13665.995698247198,92308.84407887912,188.082059761791,190,True,12.550000000000043
False,4002.2602276362877,-450.3416552562677,12507.930858124839,84975.18092788773,207.77901380174447,191,True,13.200000000000053
False,4011.6783979868055,-500.38210397753494,11602.024616768505,74429.65563221303,232.24375200108835,192,False,13.70000000000006
False,4002.084453680151,-502.6014004323443,11917.209387868545,74159.24777490503,236.14022192624628,193,False,13.600000000000058
