success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,burn_time_s,candidate,crossrange_error_m,dominance_rank,downrange_error_m,failed,feasible,final_x_m,final_y_m,final_z_m,fuel_used_kg,generation,ground_violation_m,guidance_gain,impulse_n_s_percentile_score,integrated_control_effort,load_violation_g,miss_distance_m_percentile_score,miss_violation_m,mission_model,optimizer_score,percentile_score,qbar_violation_pa,robustness_margin_percentile_score,robustness_score,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps,thrust_n
True,none,32.51469255422594,57.34396202658591,142656.0379734141,8.530219526520955,11.400000000000027,22224.71539308115,10.484040471090273,23,0.0,5,-4.6348511803985275,False,True,4010.1486414673286,0.0,-161.348303725505,6.5,2,161.348303725505,2.613038689451723,0.29032258064516125,9.90958058092845,0.0,0.19354838709677424,0.0,point_mass,46.1378136433192,0.38709677419354843,0.0,0.6774193548387097,56.693668175501394,-161.348303725505,-8.593662783193867,387.7079611070517,2116.639561245819
True,none,17.793486390346253,42.30586837960882,157694.13162039118,5.522007411822505,8.649999999999988,20290.347213654608,9.640711864869429,18,0.0,6,-17.60597797606897,False,True,2982.394022023931,0.0,2.5763729213007336,5.832038213369167,2,0.0,1.5304200285092349,0.5483870967741935,0.39555552386119197,0.0,0.7096774193548387,0.0,point_mass,31.737953347059538,0.5053763440860215,0.0,0.25806451612903225,41.94999865180189,2.5763729213007336,-9.00392998676627,537.4546920781804,2345.704880191285
True,none,15.733186048990818,40.37511016806387,159624.88983193613,5.654073903564526,8.599999999999987,20646.502821939244,11.610369928262706,31,0.0,6,-15.403979104683913,False,True,2984.596020895316,0.0,-3.2016512918524906,4.814661405742015,3,3.2016512918524906,1.7588687870758921,0.4193548387096775,0.40426332740932097,0.0,0.7741935483870968,0.0,point_mass,30.32342234572048,0.4623655913978495,0.0,0.19354838709677424,40.060446447084054,-3.2016512918524906,-8.702671270702863,540.5223006386608,2400.7561420859656
True,none,28.39029071132201,57.735880921764824,142264.11907823518,8.405802469737695,11.450000000000028,24245.786546054165,11.669663839270878,9,0.0,6,-9.637233530123922,False,True,4002.6083996938137,0.0,-163.09869168203835,6.377647293449797,1,163.09869168203835,2.368373210429938,0.09677419354838712,10.0242460243789,0.0,0.32258064516129037,0.0,point_mass,43.97569511911145,0.37634408602150543,0.0,0.7096774193548387,57.168075107538385,-163.09869168203835,-9.107223920576208,335.10204332863907,2117.5359428868333
True,none,25.546630633318586,51.50234552673466,148497.65447326534,8.711581122817073,11.250000000000025,25009.93967559599,12.523493285838011,8,0.0,6,-3.617600325334024,False,True,4009.011595662488,0.0,-159.40331909637362,5.839025767888906,1,159.40331909637362,2.399039749022159,0.0,9.848715558815078,0.0,0.4516129032258065,0.0,point_mass,42.83121847990437,0.3333333333333333,0.0,0.5483870967741935,50.991412914068285,-159.40331909637362,-8.943649697412805,342.8554942343379,2223.105748941856
False,ground_intercept,277.18069415329654,-47.18069415329654,139318.98481133083,5.218396926140403,8.349999999999984,18498.03328791401,9.815911970702777,10,0.0,6,-277.1805673577978,True,True,2722.819432642202,0.0,-0.26512357992131763,5.529287565127859,1,0.26512357992131763,3.078631530493135,0.8064516129032258,0.5039113113443059,0.0,0.0,47.18069415329654,point_mass,302.755831564205,0.26881720430107525,0.0,0.0,-52.72430803636247,-0.26512357992131763,-7.942007193169367,505.10098162494745,2215.333327893889
True,none,19.54646987248593,42.3229506436589,157677.0493563411,5.52512069372215,8.649999999999988,20294.513500888355,9.728669651584724,24,0.0,7,-18.878780365519106,False,True,2981.121219634481,0.0,-5.065188682220077,5.7793102257145605,3,5.065188682220077,1.803008583063374,0.5161290322580645,0.4134509220903864,0.0,0.6129032258064516,0.0,point_mass,33.49254077682545,0.47311827956989244,0.0,0.29032258064516125,41.93202124620918,-5.065188682220077,-8.668505559924043,537.1677795575285,2346.1865318946043
True,none,34.54148382350229,60.62076327402284,139379.23672597716,8.165906912960947,11.55000000000003,24128.19675717975,12.843145515021277,19,0.0,7,-14.98723814859568,False,True,4008.98917343125,0.0,-164.80332580449385,5.845530591566366,2,164.80332580449385,2.5670710385523567,0.12903225806451613,10.230427444115266,0.0,0.12903225806451613,0.0,point_mass,49.57656608957861,0.3440860215053763,0.0,0.7741935483870968,59.9299335975528,-164.80332580449385,-8.849499123030887,331.82739925080665,2089.0213642579856
True,none,18.227497483724036,42.26813606590201,157731.863934098,5.606462886389742,8.649999999999988,20589.59455433609,12.62147399760557,4,0.0,8,-10.615698912086827,False,True,2989.384301087913,0.0,-14.817172507839835,4.454709490401839,0,14.817172507839835,2.1585466513037423,0.4516129032258065,0.4559201294172624,0.0,0.6774193548387097,0.0,point_mass,32.47687162817482,0.4516129032258065,0.0,0.22580645161290325,41.90358611622753,-14.817172507839835,-8.210263157408157,537.0380252471149,2380.2999484781653
True,none,23.97118885051607,45.290575722259995,154709.42427774,9.197932153911461,11.050000000000022,24940.79853372929,10.818984494367166,17,0.0,10,-12.40082660143753,False,True,4000.9718209998405,0.0,-154.15768055815676,6.5,2,154.15768055815676,2.3396466206824176,0.06451612903225812,9.548116168489726,0.0,0.4838709677419355,0.0,point_mass,42.118401025906365,0.3010752688172043,0.0,0.3548387096774194,44.81115194524968,-154.15768055815676,-8.856203938267512,361.8442069054819,2298.691109099478
